Service_Area,Band,Year,Blocks_Offered,Blocks_Bought,Percent_Sold,Reserve_Price_Total,Winning_Price_Total,Companies,Success
Delhi,3300,2022,33,25,75.75757575757575,13200.0,10000.0,3,False
Gujarat,3300,2022,33,25,75.75757575757575,7590.0,5750.0,3,False
Haryana,3300,2022,33,25,75.75757575757575,1980.0,1500.0,3,False
Himachal Pradesh,3300,2022,33,23,69.6969696969697,660.0,460.0,2,False
Jammu & Kashmir,3300,2022,33,23,69.6969696969697,330.0,230.0,2,False
Karnataka,3300,2022,33,28,84.84848484848484,5940.0,5040.0,3,False
Kerala,3300,2022,33,28,84.84848484848484,2970.0,2520.0,3,False
Kolkata,3300,2022,33,25,75.75757575757575,4950.0,3750.0,3,False
Madhya Pradesh,3300,2022,33,28,84.84848484848484,4290.0,3640.0,3,False
Maharashtra,3300,2022,33,25,75.75757575757575,9570.0,7250.0,3,False
Mumbai,3300,2022,33,25,75.75757575757575,11550.0,8750.0,3,False
North East,3300,2022,33,23,69.6969696969697,330.0,230.0,2,False
Orissa,3300,2022,33,20,60.60606060606061,1650.0,1000.0,2,False
Punjab,3300,2022,33,25,75.75757575757575,2970.0,2250.0,3,False
Rajasthan,3300,2022,33,28,84.84848484848484,3630.0,3080.0,3,False
Tamil Nadu,3300,2022,33,25,75.75757575757575,6930.0,5250.0,3,False
Uttar Pradesh (E),3300,2022,33,25,75.75757575757575,4620.0,3500.0,3,False
Uttar Pradesh (W),3300,2022,33,28,84.84848484848484,4290.0,3640.0,3,False
West Bengal,3300,2022,33,25,75.75757575757575,2970.0,2250.0,3,False
Andhra Pradesh,26000,2022,57,41,71.9298245614035,1624.5,1168.5,4,False
Assam,26000,2022,57,36,63.1578947368421,285.0,180.0,2,False
Bihar,26000,2022,57,36,63.1578947368421,769.5,486.0,2,False
Delhi,26000,2022,57,40,70.17543859649122,2536.5,1780.0,3,False
Gujarat,26000,2022,57,47,82.45614035087719,1425.0,1175.0,4,False
Haryana,26000,2022,57,44,77.19298245614034,370.5,286.0,3,False
Himachal Pradesh,26000,2022,57,36,63.1578947368421,142.5,90.0,2,False
Jammu & Kashmir,26000,2022,57,36,63.1578947368421,85.5,54.0,2,False
Karnataka,26000,2022,57,41,71.9298245614035,1140.0,820.0,4,False
Kerala,26000,2022,57,52,91.22807017543859,541.5,494.0,3,False
Kolkata,26000,2022,57,40,70.17543859649122,912.0,640.0,3,False
Madhya Pradesh,26000,2022,57,44,77.19298245614034,826.5,638.0,3,False
Maharashtra,26000,2022,57,44,77.19298245614034,1795.5,1386.0,3,False
Mumbai,26000,2022,57,42,73.68421052631578,2223.0,1638.0,4,False
North East,26000,2022,57,36,63.1578947368421,85.5,54.0,2,False
Orissa,26000,2022,57,36,63.1578947368421,342.0,216.0,2,False
Punjab,26000,2022,57,42,73.68421052631578,570.0,420.0,3,False
Rajasthan,26000,2022,57,43,75.43859649122807,712.5,537.5,4,False
Tamil Nadu,26000,2022,57,43,75.43859649122807,1311.0,989.0,4,False
Uttar Pradesh (E),26000,2022,57,41,71.9298245614035,855.0,615.0,3,False
Uttar Pradesh (W),26000,2022,57,43,75.43859649122807,826.5,623.5,3,False
West Bengal,26000,2022,57,44,77.19298245614034,541.5,418.0,3,False
Andhra Pradesh,900,2024,22,12,54.54545454545454,1267.2,691.2,1,False
Assam,900,2024,34,25,73.52941176470588,428.4,315.0,1,False
Bihar,900,2024,59,35,59.32203389830508,1734.6,1029.0,1,False
Delhi,900,2024,4,0,0.0,348.8,0.0,0,False
Gujarat,900,2024,8,0,0.0,638.4,0.0,0,False
Haryana,900,2024,23,0,0.0,312.8,0.0,0,False
Himachal Pradesh,900,2024,17,0,0.0,88.4,0.0,0,False
Jammu & Kashmir,900,2024,67,50,74.6268656716418,241.2,180.0,1,False
Karnataka,900,2024,23,11,47.82608695652174,938.4,448.8,1,False
Kerala,900,2024,7,0,0.0,298.2,0.0,0,False
Kolkata,900,2024,14,1,7.142857142857142,428.4,30.6,1,False
Madhya Pradesh,900,2024,22,0,0.0,686.4,0.0,0,False
Maharashtra,900,2024,14,0,0.0,887.6,0.0,0,False
Mumbai,900,2024,4,0,0.0,311.2,0.0,0,False
North East,900,2024,22,5,22.727272727272727,70.4,16.0,1,False
Orissa,900,2024,42,25,59.523809523809526,537.6,320.0,1,False
Punjab,900,2024,6,6,100.0,124.8,124.8,1,True
Rajasthan,900,2024,22,22,100.0,594.0,594.0,2,True
Tamil Nadu,900,2024,42,12,28.57142857142857,1864.8,532.8,1,False
Uttar Pradesh (E),900,2024,31,31,100.0,1153.2,1153.2,2,True
Uttar Pradesh (W),900,2024,59,25,42.3728813559322,1793.6,760.0,1,False
West Bengal,900,2024,48,44,91.66666666666666,950.4,871.2,2,False
Andhra Pradesh,1800,2024,45,0,0.0,1737.0,0.0,0,False
Assam,1800,2024,43,20,46.51162790697674,275.2,128.0,1,False
Bihar,1800,2024,51,51,100.0,836.4,857.31,2,True
Delhi,1800,2024,55,0,0.0,2970.0,0.0,0,False
Gujarat,1800,2024,20,0,0.0,672.0,0.0,0,False
Haryana,1800,2024,142,25,17.6056338028169,1164.4,205.0,1,False
Himachal Pradesh,1800,2024,66,0,0.0,211.2,0.0,0,False
Jammu & Kashmir,1800,2024,30,0,0.0,54.0,0.0,0,False
Karnataka,1800,2024,24,0,0.0,580.8,0.0,0,False
Kerala,1800,2024,127,0,0.0,1473.2,0.0,0,False
Kolkata,1800,2024,93,25,26.881720430107524,2027.4,545.0,1,False
Madhya Pradesh,1800,2024,6,6,100.0,118.8,118.8,1,True
Maharashtra,1800,2024,12,0,0.0,511.2,0.0,0,False
Mumbai,1800,2024,92,0,0.0,4857.6,0.0,0,False
North East,1800,2024,11,0,0.0,17.6,0.0,0,False
Orissa,1800,2024,44,5,11.363636363636363,343.2,39.0,1,False
Punjab,1800,2024,49,25,51.02040816326531,597.8,305.0,1,False
Rajasthan,1800,2024,35,25,71.42857142857143,588.0,420.0,1,False
Tamil Nadu,1800,2024,17,0,0.0,479.4,0.0,0,False
Uttar Pradesh (E),1800,2024,5,5,100.0,184.0,184.0,1,True
Uttar Pradesh (W),1800,2024,74,0,0.0,1287.6,0.0,0,False
West Bengal,1800,2024,66,66,100.0,765.6,776.82,2,True
Andhra Pradesh,2100,2024,3,0,0.0,2130.0,0.0,0,False
Assam,2100,2024,1,1,100.0,120.0,120.0,1,True
Bihar,2100,2024,0,0,0.0,0.0,0.0,0,False
Delhi,2100,2024,2,0,0.0,2510.0,0.0,0,False
Gujarat,2100,2024,1,0,0.0,700.0,0.0,0,False
Haryana,2100,2024,0,0,0.0,0.0,0.0,0,False
Himachal Pradesh,2100,2024,3,0,0.0,180.0,0.0,0,False
Jammu & Kashmir,2100,2024,1,1,100.0,40.0,40.0,1,True
Karnataka,2100,2024,1,0,0.0,560.0,0.0,0,False
Kerala,2100,2024,0,0,0.0,0.0,0.0,0,False
Kolkata,2100,2024,2,0,0.0,800.0,0.0,0,False
Madhya Pradesh,2100,2024,2,0,0.0,730.0,0.0,0,False
Maharashtra,2100,2024,1,0,0.0,790.0,0.0,0,False
Mumbai,2100,2024,2,0,0.0,1960.0,0.0,0,False
North East,2100,2024,1,1,100.0,25.0,25.0,1,True
Orissa,2100,2024,2,0,0.0,290.0,0.0,0,False
Punjab,2100,2024,1,0,0.0,255.0,0.0,0,False
Rajasthan,2100,2024,0,0,0.0,0.0,0.0,0,False
Tamil Nadu,2100,2024,0,0,0.0,0.0,0.0,0,False
Uttar Pradesh (E),2100,2024,0,0,0.0,0.0,0.0,0,False
Uttar Pradesh (W),2100,2024,2,1,50.0,720.0,360.0,1,False
West Bengal,2100,2024,0,0,0.0,0.0,0.0,0,False
Andhra Pradesh,2500,2024,0,0,0.0,0.0,0.0,0,False
Assam,2500,2024,0,0,0.0,0.0,0.0,0,False
Bihar,2500,2024,1,2,200.0,150.0,150.0,1,False
Delhi,2500,2024,0,0,0.0,0.0,0.0,0,False
Gujarat,2500,2024,0,0,0.0,0.0,0.0,0,False
Haryana,2500,2024,0,0,0.0,0.0,0.0,0,False
Himachal Pradesh,2500,2024,1,0,0.0,30.0,0.0,0,False
Jammu & Kashmir,2500,2024,1,0,0.0,20.0,0.0,0,False
Karnataka,2500,2024,2,0,0.0,940.0,0.0,0,False
Kerala,2500,2024,0,0,0.0,0.0,0.0,0,False
Kolkata,2500,2024,0,0,0.0,0.0,0.0,0,False
Madhya Pradesh,2500,2024,0,0,0.0,0.0,0.0,0,False
Maharashtra,2500,2024,0,0,0.0,0.0,0.0,0,False
Mumbai,2500,2024,0,0,0.0,0.0,0.0,0,False
North East,2500,2024,0,0,0.0,0.0,0.0,0,False
Orissa,2500,2024,0,0,0.0,0.0,0.0,0,False
Punjab,2500,2024,0,0,0.0,0.0,0.0,0,False
Rajasthan,2500,2024,0,0,0.0,0.0,0.0,0,False
Tamil Nadu,2500,2024,2,0,0.0,1160.0,0.0,0,False
Uttar Pradesh (E),2500,2024,0,0,0.0,0.0,0.0,0,False
Uttar Pradesh (W),2500,2024,0,0,0.0,0.0,0.0,0,False
West Bengal,2500,2024,0,0,0.0,0.0,0.0,0,False
